ID,Address,City,St,Price,TAREA,Style,RMA,TBD,FB,HB,E/S,Yr Built,DOM
C4253901,4702 21 ST SW,Calgary,S,"$805,000 ",160.165,2 Storey,9,4,3,1,Yes,2000,19
C4248876,37 SCANDIA HL NW,Calgary,S,"$805,000 ",187.292,Bungalow,8,3,2,1,Yes,1988,11
C4248174,413 SCARBORO AV SW,Calgary,S,"$800,000 ",166.018,Bungalow,7,5,2,0,No,1918,23
C4252667,1937 48 AV SW,Calgary,S,"$797,000 ",182.647,2 Storey,7,4,3,1,Yes,2004,11
C4244721,4619 VEGAS RD NW,Calgary,S,"$795,000 ",119.38,Bungalow,6,4,3,0,Yes,1965,17
C4242698,251 ASPEN STONE PL SW,Calgary,S,"$795,000 ",235.323,2 Storey,6,4,3,1,Yes,2009,67
C4244745,31 SYDNEY DR SW,Calgary,S,"$785,000 ",167.318,Bungalow,8,5,3,1,Yes,2010,53
C4236752,623 WILDERNESS DR SE,Calgary,S,"$785,000 ",228.077,2 Storey,10,6,3,1,Yes,1969,76
C4222793,1606 42 ST SW,Calgary,S,"$785,000 ",210.054,2 Storey,6,4,3,1,Yes,2019,165
C4247935,169 ASPEN HILLS WY SW,Calgary,S,"$784,000 ",206.802,2 Storey,8,4,3,1,Yes,2009,20
C4244861,97 STRATHLEA CO SW,Calgary,S,"$783,000 ",236.345,2 Storey,9,4,3,1,Yes,2002,49
C4248234,173 WEST COACH PL SW,Calgary,S,"$780,000 ",229.935,2 Storey,9,3,2,1,Yes,2009,40
C4248195,230 SIENNA PARK BA SW,Calgary,S,"$780,000 ",165.089,Bungalow,6,5,2,1,Yes,2001,13
C4228338,225 DOUGLAS PARK BV SE,Calgary,S,"$780,000 ",148.273,Bungalow,6,3,2,1,Yes,1995,131
C4239453,30 SIMCREST MR SW,Calgary,S,"$772,500 ",244.056,2 Storey,11,5,2,1,Yes,2000,48
C4255157,7739 SPRINGBANK WY SW,Calgary,S,"$769,000 ",188.5,2 Storey,9,5,3,1,Yes,2000,11
C4245338,704 Varsity Estates PL NW,Calgary,S,"$766,500 ",164.438,2 Storey,8,4,2,2,Yes,1976,38
C4244848,120 EVERGREEN PZ SW,Calgary,S,"$765,000 ",169.455,Bungalow,5,4,2,2,Yes,2005,36
C4238831,2231 25 AV NW,Calgary,S,"$765,000 ",168.34,2 Storey,7,4,3,1,Yes,2018,76
C4245762,518 53 AV SW,Calgary,S,"$760,000 ",172.056,2 Storey,8,4,3,1,Yes,2012,16
C4242734,146 CRANBROOK CI SE,Calgary,S,"$760,000 ",255.205,2 Storey,10,4,2,1,Yes,2017,52
C4240938,27 MIDLAND CR SE,Calgary,S,"$760,000 ",169.269,4 Lvl Split,7,5,3,1,Yes,1980,70
C4225618,627 LAKE MORAINE WY SE,Calgary,S,"$760,000 ",160.908,2 Sty Split,8,5,3,1,Yes,1973,127
C4249014,125 HAMPTONS GD NW,Calgary,S,"$759,000 ",249.352,2 Storey,11,5,3,1,Yes,1998,6
C4252609,124 MIKE RALPH WY SW,Calgary,S,"$758,000 ",213.956,2 Storey,9,5,3,1,Yes,2007,15
C4235745,111 LAKE TAHOE GR SE,Calgary,S,"$758,000 ",165.182,Bungalow,8,5,3,0,Yes,1975,83
C4238921,3043 6 ST SW,Calgary,S,"$755,000 ",106.281,Bungalow,6,2,1,0,No,1925,54
C4248071,5336 BANNERMAN DR NW,Calgary,S,"$752,500 ",112.97,Bungalow,6,4,2,0,No,1966,23
C4248913,1043 KILDONAN CR SW,Calgary,S,"$750,000 ",121.424,Bi-Level,6,4,3,0,Yes,1962,15
C4243524,55 Sienna Heights WY SW,Calgary,S,"$742,000 ",147.065,Bungalow,6,4,3,0,Yes,1999,65
C4255921,118 CHAPALA CL SE,Calgary,S,"$740,000 ",289.393,2 Storey,11,3,2,1,Yes,2003,16
C4249019,184 PARK ESTATES PL SE,Calgary,S,"$740,000 ",215.442,2 Sty Split,10,5,3,1,Yes,1974,38
C4244669,17 DISCOVERY RIDGE LI SW,Calgary,S,"$738,000 ",228.356,2 Storey,10,3,2,1,Yes,2001,48
C4233898,92 COUGAR RIDGE MR SW,Calgary,S,"$734,000 ",237.925,2 Storey,11,4,3,1,Yes,2013,85
C4253747,5204 BAINES RD NW,Calgary,S,"$731,500 ",121.796,Bungalow,6,3,3,0,Yes,1964,11
C4247268,132 Holly ST NW,Calgary,S,"$730,000 ",192.774,2 Storey,7,4,3,1,Yes,2019,34
C4223498,707 WILLAMETTE DR SE,Calgary,S,"$730,000 ",175.68,2 Storey,8,4,2,1,No,1971,142
C4243323,147 CANTER PL SW,Calgary,S,"$727,500 ",322.373,2 Storey,13,4,3,0,Yes,1987,38
C4257182,215 11A ST NW,Calgary,S,"$725,000 ",92.531,Bungalow,5,3,2,0,No,1912,7
C4249462,5051 NORRIS RD NW,Calgary,S,"$725,000 ",177.445,2 Sty Split,8,6,4,0,Yes,1982,10
C4222440,63 WENTWORTH MR SW,Calgary,S,"$725,000 ",215.163,2 Storey,10,5,3,1,Yes,2003,156
C4253880,104 MT ROBSON CI SE,Calgary,S,"$715,000 ",193.331,2 Sty Split,9,4,3,1,Yes,1989,11
C4249537,44 OAKMOUNT CO SW,Calgary,S,"$715,000 ",260.686,2 Storey,11,5,3,1,Yes,1987,26
C4245090,124 PATTERSON DR SW,Calgary,S,"$714,888 ",172.242,Bungalow,6,3,2,1,Yes,1992,48
C4252823,73 ASPENSHIRE DR SW,Calgary,S,"$714,000 ",201.135,2 Storey,8,3,2,1,Yes,2011,35
C4245995,75 CANTERBURY DR SW,Calgary,S,"$710,000 ",288.65,2 Storey,13,4,2,2,Yes,1980,31
C4244679,35 AUBURN SOUND MR SE,Calgary,S,"$710,000 ",220.366,2 Storey,9,4,3,1,Yes,2010,27
C4237028,246 EDGEBROOK PA NW,Calgary,S,"$710,000 ",201.042,2 Storey,9,4,3,1,Yes,1998,78
C4239699,652 WILLOW BROOK DR SE,Calgary,S,"$708,500 ",208.289,2 Sty Split,9,4,2,1,Yes,1966,56
C4238881,41 HIDDEN VALLEY HT NW,Calgary,S,"$708,000 ",229.563,2 Storey,7,4,3,1,Yes,1994,91
C4242201,74 AUTUMN GV SE,Calgary,S,"$700,000 ",135.824,Bungalow,6,3,2,1,Yes,2007,64
C4229573,111 MASTERS WY SE,Calgary,S,"$700,000 ",229.192,2 Storey,11,4,2,1,Yes,2017,107
C4225904,3414 13A ST SW,Calgary,S,"$700,000 ",98.57,Bungalow,5,4,2,0,No,1949,147
C4241442,5815 LONDONDERRY CR SW,Calgary,S,"$695,000 ",104.516,Bungalow,6,5,3,0,Yes,1967,57
C4253232,79 PANTON RD NW,Calgary,S,"$689,900 ",199.277,2 Storey,7,4,3,1,Yes,2014,16
C4191367,8 Edgevalley Place N.W. PL NW,Calgary,S,"$689,900 ",207.824,2 Sty Split,9,6,3,1,Yes,1992,9
